errorGroups.id,insertId,labels.INSTANCE_UID,labels.LOG_BUCKET_NUM,labels.PROJECT_NUMBER,labels.SOURCE_ID,"'labels.""commit-sha""","'labels.""gcb-build-id""","'labels.""gcb-trigger-id""","'labels.""gcb-trigger-region""",labels.instanceId,"'labels.""managed-by""",logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.database_id,resource.labels.location,resource.labels.project_id,resource.labels.region,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,textPayload,timestamp
,"'s=8cc2e3eb994f443caf665154fcf6b2d8;i=52db2c;b=611034922472440d996701ab4475db58;m=5f48f44325;t=651635f848306;x=d40b57dcbdc1a13d-0@a2","'1-e1be44ec-f7ea-4e99-b2e1-4845aa2b37a7",55,330575088921,37333130396234346565326662666435e3b0c442,,,,,,,"'projects/clickrate-477217/logs/cloudsql.googleapis.com%2Fpostgres.log",,"'2026-05-09T14:31:51.496554612Z",,"'clickrate-477217:scalpyn",,"'clickrate-477217","'us-central",,,cloudsql_database,ERROR,"'2026-05-09 14:31:49.713 UTC [695392]: [26-1] db=scalpyn,user=postgres,host=[local] ERROR:  deadlock detected","'2026-05-09T14:31:49.713544Z"
,"'s=8cc2e3eb994f443caf665154fcf6b2d8;i=52dac4;b=611034922472440d996701ab4475db58;m=5f48291b9f;t=651635eb95b80;x=5618a4a789e60c05-0@aj","'1-e1be44ec-f7ea-4e99-b2e1-4845aa2b37a7",55,330575088921,37333130396234346565326662666435e3b0c442,,,,,,,"'projects/clickrate-477217/logs/cloudsql.googleapis.com%2Fpostgres.log",,"'2026-05-09T14:31:50.574270461Z",,"'clickrate-477217:scalpyn",,"'clickrate-477217","'us-central",,,cloudsql_database,ERROR,"'2026-05-09 14:31:46.394 UTC [695392]: [21-1] db=scalpyn,user=postgres,host=[local] ERROR:  deadlock detected","'2026-05-09T14:31:46.394651Z"
,"'s=8cc2e3eb994f443caf665154fcf6b2d8;i=52dac4;b=611034922472440d996701ab4475db58;m=5f48291b9f;t=651635eb95b80;x=5618a4a789e60c05-0@a9","'1-e1be44ec-f7ea-4e99-b2e1-4845aa2b37a7",55,330575088921,37333130396234346565326662666435e3b0c442,,,,,,,"'projects/clickrate-477217/logs/cloudsql.googleapis.com%2Fpostgres.log",,"'2026-05-09T14:31:50.574270461Z",,"'clickrate-477217:scalpyn",,"'clickrate-477217","'us-central",,,cloudsql_database,ERROR,"'2026-05-09 14:31:40.878 UTC [695392]: [16-1] db=scalpyn,user=postgres,host=[local] ERROR:  deadlock detected","'2026-05-09T14:31:40.878547Z"
,"'s=8cc2e3eb994f443caf665154fcf6b2d8;i=52dac4;b=611034922472440d996701ab4475db58;m=5f48291b9f;t=651635eb95b80;x=5618a4a789e60c05-0@a4","'1-e1be44ec-f7ea-4e99-b2e1-4845aa2b37a7",55,330575088921,37333130396234346565326662666435e3b0c442,,,,,,,"'projects/clickrate-477217/logs/cloudsql.googleapis.com%2Fpostgres.log",,"'2026-05-09T14:31:50.574270461Z",,"'clickrate-477217:scalpyn",,"'clickrate-477217","'us-central",,,cloudsql_database,ERROR,"'2026-05-09 14:31:38.887 UTC [695392]: [11-1] db=scalpyn,user=postgres,host=[local] ERROR:  deadlock detected","'2026-05-09T14:31:38.887240Z"
"'[""CIaUi4fY3-nCJw""]",69ff454a000b31c60848c4ad,,,,,3c4b3c63f67efce0cd161af5cc882ce2610a045f,"'05f9019e-0e89-4201-8d02-3a55a39d616d","'806f4336-706a-404f-82be-dd0d5c01ebfa",global,0007b734d92bb3cfe0edf34b58222079cb9e428d6f650d44a19074ded68c0901adb8e86aa12835328609a7c9392c74e399456ebae81296f7bbed3ecafc061548501ad6f0da69add894e434995f63,"'gcp-cloud-build-deploy-cloud-run","'projects/clickrate-477217/logs/run.googleapis.com%2Fstderr",,"'2026-05-09T14:31:38.876846432Z","'scalpyn-worker-structural",,"'us-central1","'clickrate-477217",,"'scalpyn-worker-structural-00037-h7w","'scalpyn-worker-structural",cloud_run_revision,ERROR,"'Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/pool/base.py"", line 373, in _close_connection
    self._dialect.do_terminate(connection)
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/dialects/postgresql/asyncpg.py"", line 1127, in do_terminate
    dbapi_connection.terminate()
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/connectors/asyncio.py"", line 402, in terminate
    self.await_(asyncio.shield(self._terminate_graceful_close()))  # type: ignore[attr-defined] # noqa: E501
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/util/_concurrency_py3k.py"", line 132, in await_only
    return current.parent.switch(awaitable)  # type: ignore[no-any-return,attr-defined] # noqa: E501
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/util/_concurrency_py3k.py"", line 196, in greenlet_spawn
    value = await result
            ^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/dialects/postgresql/asyncpg.py"", line 912, in _terminate_graceful_close
    await self._connection.close(timeout=2)
  File ""/usr/local/lib/python3.12/site-packages/asyncpg/connection.py"", line 1513, in close
    await self._protocol.close(timeout)
  File ""asyncpg/protocol/protocol.pyx"", line 617, in close
  File ""asyncpg/protocol/protocol.pyx"", line 650, in asyncpg.protocol.protocol.BaseProtocol._request_cancel
  File ""/usr/local/lib/python3.12/site-packages/asyncpg/connection.py"", line 1682, in _cancel_current_command
    self._cancellations.add(self._loop.create_task(self._cancel(waiter)))
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/asyncio/base_events.py"", line 455, in create_task
    self._check_closed()
  File ""/usr/local/lib/python3.12/asyncio/base_events.py"", line 545, in _check_closed
    raise RuntimeError('Event loop is closed')
RuntimeError: Event loop is closed","'2026-05-09T14:31:38.733638Z"
"'[""CIaUi4fY3-nCJw""]",69ff454a000b187c7b68b4b2,,,,,3c4b3c63f67efce0cd161af5cc882ce2610a045f,"'05f9019e-0e89-4201-8d02-3a55a39d616d","'806f4336-706a-404f-82be-dd0d5c01ebfa",global,0007b734d92bb3cfe0edf34b58222079cb9e428d6f650d44a19074ded68c0901adb8e86aa12835328609a7c9392c74e399456ebae81296f7bbed3ecafc061548501ad6f0da69add894e434995f63,"'gcp-cloud-build-deploy-cloud-run","'projects/clickrate-477217/logs/run.googleapis.com%2Fstderr",,"'2026-05-09T14:31:38.876846432Z","'scalpyn-worker-structural",,"'us-central1","'clickrate-477217",,"'scalpyn-worker-structural-00037-h7w","'scalpyn-worker-structural",cloud_run_revision,ERROR,"'Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/pool/base.py"", line 373, in _close_connection
    self._dialect.do_terminate(connection)
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/dialects/postgresql/asyncpg.py"", line 1127, in do_terminate
    dbapi_connection.terminate()
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/connectors/asyncio.py"", line 402, in terminate
    self.await_(asyncio.shield(self._terminate_graceful_close()))  # type: ignore[attr-defined] # noqa: E501
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/util/_concurrency_py3k.py"", line 132, in await_only
    return current.parent.switch(awaitable)  # type: ignore[no-any-return,attr-defined] # noqa: E501
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/util/_concurrency_py3k.py"", line 196, in greenlet_spawn
    value = await result
            ^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/sqlalchemy/dialects/postgresql/asyncpg.py"", line 912, in _terminate_graceful_close
    await self._connection.close(timeout=2)
  File ""/usr/local/lib/python3.12/site-packages/asyncpg/connection.py"", line 1513, in close
    await self._protocol.close(timeout)
  File ""asyncpg/protocol/protocol.pyx"", line 617, in close
  File ""asyncpg/protocol/protocol.pyx"", line 650, in asyncpg.protocol.protocol.BaseProtocol._request_cancel
  File ""/usr/local/lib/python3.12/site-packages/asyncpg/connection.py"", line 1682, in _cancel_current_command
    self._cancellations.add(self._loop.create_task(self._cancel(waiter)))
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/asyncio/base_events.py"", line 455, in create_task
    self._check_closed()
  File ""/usr/local/lib/python3.12/asyncio/base_events.py"", line 545, in _check_closed
    raise RuntimeError('Event loop is closed')
RuntimeError: Event loop is closed","'2026-05-09T14:31:38.727164Z"
,"'s=8cc2e3eb994f443caf665154fcf6b2d8;i=52da9e;b=611034922472440d996701ab4475db58;m=5f47f7e86f;t=651635e882850;x=468b2bbae8e637a5-0@a2","'1-e1be44ec-f7ea-4e99-b2e1-4845aa2b37a7",55,330575088921,37333130396234346565326662666435e3b0c442,,,,,,,"'projects/clickrate-477217/logs/cloudsql.googleapis.com%2Fpostgres.log",,"'2026-05-09T14:31:33.897423582Z",,"'clickrate-477217:scalpyn",,"'clickrate-477217","'us-central",,,cloudsql_database,ERROR,"'2026-05-09 14:31:33.080 UTC [695392]: [6-1] db=scalpyn,user=postgres,host=[local] ERROR:  deadlock detected","'2026-05-09T14:31:33.081195Z"
,"'s=8cc2e3eb994f443caf665154fcf6b2d8;i=52da74;b=611034922472440d996701ab4475db58;m=5f465b8c26;t=651635cebcc06;x=e3ac47fcae8445fb-0@a6","'1-e1be44ec-f7ea-4e99-b2e1-4845aa2b37a7",55,330575088921,37333130396234346565326662666435e3b0c442,,,,,,,"'projects/clickrate-477217/logs/cloudsql.googleapis.com%2Fpostgres.log",,"'2026-05-09T14:31:32.909402258Z",,"'clickrate-477217:scalpyn",,"'clickrate-477217","'us-central",,,cloudsql_database,ERROR,"'2026-05-09 14:31:29.856 UTC [695392]: [1-1] db=scalpyn,user=postgres,host=[local] ERROR:  deadlock detected","'2026-05-09T14:31:29.856809Z"
,"'s=8cc2e3eb994f443caf665154fcf6b2d8;i=52da74;b=611034922472440d996701ab4475db58;m=5f465b8c26;t=651635cebcc06;x=e3ac47fcae8445fb-0@a4","'1-e1be44ec-f7ea-4e99-b2e1-4845aa2b37a7",55,330575088921,37333130396234346565326662666435e3b0c442,,,,,,,"'projects/clickrate-477217/logs/cloudsql.googleapis.com%2Fpostgres.log",,"'2026-05-09T14:31:32.909402258Z",,"'clickrate-477217:scalpyn",,"'clickrate-477217","'us-central",,,cloudsql_database,ALERT,"'2026-05-09 14:31:19.188 UTC [695376]: [2-1] db=scalpyn,user=postgres,host=[local] FATAL:  connection to client lost","'2026-05-09T14:31:19.189569Z"
,"'s=8cc2e3eb994f443caf665154fcf6b2d8;i=52d9b1;b=611034922472440d996701ab4475db58;m=5f44353c43;t=651635ac57c24;x=c09903b1bb331ccf-0@a2","'1-e1be44ec-f7ea-4e99-b2e1-4845aa2b37a7",55,330575088921,37333130396234346565326662666435e3b0c442,,,,,,,"'projects/clickrate-477217/logs/cloudsql.googleapis.com%2Fpostgres.log",,"'2026-05-09T14:31:02.921994141Z",,"'clickrate-477217:scalpyn",,"'clickrate-477217","'us-central",,,cloudsql_database,ERROR,"'2026-05-09 14:30:45.831 UTC [694692]: [1-1] db=scalpyn,user=postgres,host=[local] ERROR:  canceling statement due to user request","'2026-05-09T14:30:45.831651Z"
